
央视频道,#genre#
中国蓝直播,http://125.123.140.111:8888/udp/233.50.201.193:5140
中国蓝直播,http://183.145.74.110:7777/udp/233.50.201.108:5140
中国蓝直播,http://183.145.74.110:7777/udp/233.50.201.193:5140
凤凰卫视中文,http://125.113.165.33:8888/udp/233.50.200.191:5140
凤凰卫视中文,http://125.123.140.111:8888/udp/233.50.200.191:5140
凤凰卫视中文,http://183.145.74.110:7777/udp/233.50.200.191:5140
凤凰卫视资讯,http://125.113.165.33:8888/udp/233.50.200.192:5140
凤凰卫视资讯,http://125.123.140.111:8888/udp/233.50.200.192:5140
凤凰卫视资讯,http://183.145.74.110:7777/udp/233.50.200.192:5140
新视觉HD,http://125.113.165.33:8888/udp/233.50.201.244:5140
新视觉HD,http://125.123.140.111:8888/udp/233.50.201.244:5140
新视觉HD,http://183.145.74.110:7777/udp/233.50.201.244:5140
